ChEMBL ID,SMILES,MW,IC50,Standard Units,Target ChEMBL ID,Target Name,IC50_nM
CHEMBL2177378,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC(C)(C)CO)c4ccc(Cl)cc4)CC3)c21,488.03,2.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,2.0
CHEMBL505637,O=C(NCCc1ccc(O)c(Br)c1)/C(Cc1cc(Br)c(O)c(-c2cc(C/C(=N/O)C(=O)NCCc3ccc(O)c(Br)c3)cc(Br)c2O)c1)=N\O,942.25,1900.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,1900.0
CHEMBL237570,COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc([S+](C)[O-])cc4C)n3C)ccc2c1,467.59,30000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,30000.0
CHEMBL411515,Clc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12,339.83,5.8,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,5.8
CHEMBL407718,Fc1ccc2c(c1)C1(CCNCC1)CN2c1ncnc2[nH]ccc12,323.38,3.1,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,3.1
CHEMBL258837,N#Cc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12,330.4,50.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,50.0
CHEMBL259163,Cc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12,319.41,122.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,122.0
CHEMBL206328,Brc1ccc(/C=C/CNCCOc2cncc(/C=C/c3ccncc3)c2)cc1,436.35,32250.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,32250.0
CHEMBL203329,N[C@H](CCc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,402.93,198.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,198.0
CHEMBL206198,N[C@H](COc1cc(/C=C/c2ccncc2)cnc1Cl)Cc1c[nH]c2ccccc12,404.9,273.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,273.0
CHEMBL206183,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1csc2ccccc12,387.51,142.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,142.0
CHEMBL203673,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccccc1,331.42,690.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,690.0
CHEMBL204213,C(=C/c1cncc(OC[C@@H]2CCN2)c1)\c1ccncc1,267.33,10870.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10870.0
CHEMBL362814,CN(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,454.49,20000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,20000.0
CHEMBL3809526,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1N1CCC[C@H](N)C1,445.53,8.0,nM,CHEMBL2095191,Casein kinase II,8.0
CHEMBL3113149,OCCNC(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,327.82,650.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,650.0
CHEMBL3113136,CC(C)(C)NC(c1ccc(Cl)cc1)c1ccc(-c2ccncc2)cc1,350.89,170.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,170.0
CHEMBL3113284,COc1ccc(S(=O)(=O)Nc2cc(Sc3ncnc4nc[nH]c34)c(O)c3ccccc23)cc1OC,509.57,1730.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,1730.0
CHEMBL594309,Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4c[nH]c5c(F)cccc45)cnc3-c3ccoc3)cc12,481.53,1.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,1.0
CHEMBL607374,Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4c[nH]c5cc(F)ccc45)cnc3-c3ccoc3)cc12,481.53,0.8,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,0.8
CHEMBL605528,Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4c[nH]c5ccc(F)cc45)cnc3-c3ccoc3)cc12,481.53,1.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,1.0
CHEMBL594748,Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4ccccc4)cnc3-c3cccs3)cc12,440.57,79.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,79.0
CHEMBL2312649,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)CC1,520.51,30000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,30000.0
CHEMBL2325989,CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccccn1,365.44,2753.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,2753.0
CHEMBL2177366,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCOCC4)c4ccc(Cl)cc4)CC3)c21,500.04,5.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,5.0
CHEMBL2177370,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4COCCN4)CC3)c21,471.99,12.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,12.0
CHEMBL2177367,CO[C@H]1CC[C@H](NC[C@@H](C(=O)N2CCN(c3ncnc4c3[C@H](C)C[C@H]4O)CC2)c2ccc(Cl)cc2)CC1,528.1,5.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,5.0
CHEMBL2177835,Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,496.57,10000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10000.0
CHEMBL2177827,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(=O)Nc5ccccc5)cc4)c3n2)c1,553.63,10000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10000.0
CHEMBL2177819,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,420.48,10000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10000.0
CHEMBL2381601,NC(=O)c1cnc(N[C@H]2CC[C@H](N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,384.87,30000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,30000.0
CHEMBL398606,CC(C)NCc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)[nH]n2)cc1,414.51,26890.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,26890.0
CHEMBL2333444,CN1c2ccc(NCc3ccc(C(C)(C)C)cc3)cc2-c2c(cnn2C)S1(=O)=O,410.54,10000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10000.0
CHEMBL2177375,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCCF)c4ccc(Cl)cc4)CC3)c21,461.97,12.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,12.0
CHEMBL2177370,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4COCCN4)CC3)c21,471.99,855.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,855.0
CHEMBL2177369,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4CCCCN4)CC3)c21,470.02,530.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,530.0
CHEMBL2177378,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC(C)(C)CO)c4ccc(Cl)cc4)CC3)c21,488.03,75.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,75.0
CHEMBL2177389,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](CO)CC3)CC1)c1ccc(Cl)cc1,458.01,81.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,81.0
CHEMBL2177387,C=C[C@@H]1CCc2ncnc(N3CCN(C(=O)[C@H](CNC(C)C)c4ccc(Cl)cc4)CC3)c21,454.02,176.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,176.0
CHEMBL2177383,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)CC3(F)F)CC1)c1ccc(Cl)cc1,477.99,8548.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,8548.0
CHEMBL2177388,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](CF)CC3)CC1)c1ccc(Cl)cc1,460.0,123.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,123.0
CHEMBL2177826,Nc1ncccc1-c1nc2cc(C3CCCC3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,488.6,10000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10000.0
CHEMBL2177843,COc1ccccc1Cn1c(-c2ccncc2)nc2cc(Br)cnc21,395.26,300000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,300000.0
CHEMBL2178598,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC(C)(C)CO)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,539.57,6.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,6.0
CHEMBL2177369,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4CCCCN4)CC3)c21,470.02,9.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,9.0
CHEMBL3701767,CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccc(C(N)=O)cc3-4)cc2)C1,466.54,1.6,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,1.6
CHEMBL3701768,CN(C)C(=O)c1ccc2c(c1)-c1nc(-c3ccc(C4(N)CC(C)(O)C4)cc3)c(-c3ccccc3)n1CO2,494.6,4.4,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,4.4
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,466.54,4.95,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,4.95
