SMILES,pred_IC50,pIC50,P-gp_substrate,P-gp_I_inhibitor,P-gp_II_inhibitor,CYP2D6_substrate,CYP3A4_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,AMES_toxicity,hERG_II_inhibitor,Hepatotoxicity,Skin_Sensitisation,sa_score
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nsnc1O,75.7720123330685,7.120491178719394,0,0,0,0,0,0,0,0,0,0,0,0,2.762215182809898
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,27.370739569509674,7.56271346760202,0,0,0,0,0,0,0,0,0,0,0,0,3.1755009595514183
CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,52.07430817389481,7.283376491101882,0,0,0,0,0,0,0,0,0,0,0,0,2.989793898996135
C[C@]12CCC(=O)C(O)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,231.59666953425014,6.635267690252448,0,0,0,0,0,0,0,0,0,0,0,0,4.038635681173189
Clc1ccc(C(NC2CCCCC2)c2ccc(-c3ncnc4[nH]cnc34)cc2)cc1,396.4157735056327,6.401849073131853,0,0,0,0,0,0,0,0,0,0,0,0,2.997211502966106
Cc1c[nH]c2ncnc(N3CCC(N)(CNC(=O)Oc4ccccc4)C3)c12,18.10984346377937,7.742085303584928,0,0,0,0,0,0,0,0,0,0,0,0,3.255330216189334
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.030814033804256926,10.511251445329322,0,0,0,0,0,0,0,0,0,0,0,0,2.924666323317922
Cn1ncc(Br)c1-c1ccc2c(c1)CN([C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1)C2=O,4.728757646158305,8.325252943466754,0,0,0,0,0,0,0,0,0,0,0,0,3.600722119228223
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OP(=O)([O-])[O-].[Na+].[Na+],113.64790021979525,6.944438583972275,0,0,0,0,0,0,0,0,0,0,0,0,2.9629060146386337
Cc1cc(=O)[nH]c2c1C(=O)c1ccccc1C2=O,504.4499329620814,6.297181931344422,0,0,0,0,0,0,0,0,0,0,0,0,2.3229618875303757
NC(=O)c1cccc2c(N[C@H](CN3CCC3)c3ccc(C(F)(F)F)cc3)ncnc12,19.870668694351497,7.701787517621922,0,0,0,0,0,0,0,0,0,0,0,0,2.9134073234377684
Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2c(C#N)[nH]c3ccccc23)cc1-c1cnc2[nH]nc(C)c2n1,1.4509986431339263,8.838332993681991,0,0,0,0,0,0,0,0,0,0,0,0,3.9298183853862607
CNCCC(Oc1ccccc1OC)c1ccccc1,393.509780511002,6.405044468974112,0,0,0,0,0,0,0,0,0,0,0,0,2.284423110342626
